id,text,sentiment,human_sentiment
127,Anti-Discrimination Bill To Be Named After @Apple CEO @TimCook http://t.co/qEZlIPc8Z2 via @theinquisitr @LGBT #LGBT #Gayrights #Alabama,0,neutral
128,RT @all4incognito: HATE @APPLE SO MUCH. RUIN MY LIFE,-1,negative
129,"Debunking One of #Apple's Biggest Myths 

http://t.co/ZljMUApQV6

#AAPL",0,neutral
130,RT @animaItoes: Why does my phone suck so much @apple,-1,negative
131,YO YOU AINT SHIT @apple,-1,negative
132,#Apple: Market Maker Price Range Forecast Update #AAPL http://t.co/lb0gspNI9j,0,neutral
133,#Apple planning to spend $161 million on its own auditorium at ... - http://t.co/eJU1Q6Qklb #AAPL #WWDC http://t.co/QYhVucuSyP,0,neutral
134,You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/8xHh2SLC4X,0,neutral
135,What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire,-1,negative
136,10 best #SteveJobs #apple #aapl #tech30 http://t.co/FkrkG1iF7g via,0,neutral
137,@SamJam Agreed--have to give props to @Apple for battery life on new iPhones. It's SO good. #TL_Chat,1,positive
138,@apple I have been on hold for 30 minutes thank god I sold most of my stock is this comcast or apple?,-1,negative
139,"@viticci @panic @Apple Jesus, why did they create extensions at all? Lighten up Apple.",-1,negative
140,"Apple Inc. price at close, December 05, 2014, is 114.9801. #apple #AAPL",0,neutral
141,CNBCTV:  Bulls running with #GoPro &amp; #Apple #gpro #aapl  http://t.co/zNj09hU6jb,0,neutral
142,Apple Is Warming Up To Social Media: Apple is hiring a social media guru in L.A. Will @Apple finally tweet?Her... http://t.co/sB1FXAZ4j7,0,neutral
143,Ironic that we're at a PR event (#mp15) talking about companies that don't need more people talking about them (@google @apple @facebook),0,neutral
144,How many iphone chargers do I need to go through? @Apple make charger durability a point in the new iPhone,-1,negative
145,The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/nJKstb1rJf,0,neutral
146,"Apple Watch on Track for February 2015 Release, Testing Underway [Rumour]  $AAPL #aapl
http://t.co/vjOWVvDFx5",0,neutral
147,'#Howto import objective-C code into bridging header file - @Apigee SDK for @Apple's Swift http://t.co/e3i1kKa7xX' http://t.co/dkoOxiEGRy,0,neutral
148,thanks @apple for making life complicated,-1,negative
149,Bose products reportedly set to return to #Apple Store shelves as early as next week - http://t.co/fqnkD6rsDT #AAPL #JimmyIovine,0,neutral
150,#AAPL:Alabama Anti-Discrimination Bill To Be Named After Apple CEO Tim Cook...http://t.co/J6hGjmjBZD,0,neutral
151,"Apple to launch 4-inch iPhone next year: Report $AAPL #aapl
http://t.co/x3lzm9bOoM",0,neutral
152,My cat only chews @apple cords. Such an #AppleSnob.,0,neutral
153,Ur minute has been about 10 minutes @apple http://t.co/tInVuQNYAM,-1,negative
154,How do I log into iCloud on my phone? Not the cut down mobile version. Argh! Anyone know? @apple,-1,negative
155,fuck you fuck you so much i hate you @apple,-1,negative
156,@leiahemilyy @Apple really???,0,neutral
157,"Move Aside #Apple and #Google, #Alibaba is Entering the Connected Car Space - Forbes #baba #goog #aapl http://t.co/gOSQlrWvtl",0,neutral
158,Footage of the Apple-1 computer running. #ComputerHistory @apple @christiesinc http://t.co/nTGfnJWZ7G,0,neutral
159,Great service at @Apple #BethesdaRow thanks Jenna and Brandon!!!!!!!,1,positive
160,@apple please get yourself together! I need my products to work!,-1,negative
161,@apple so thanks for being greedy assholes who force me to pay to get something THAT I ALREADY FUCKING PAID FOR WITH FINAL CUT PRO.,-1,negative
162,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,0,neutral
163,"@kodam13 and #blunderblock if fricking @Apple ever gets their act together!!!!
@AppStore we need Blunderblock by
@BrandiGlanville",-1,negative
164,"Steve Wozniak on @Apple, the Computer Revolution, and Working With Steve Jobs http://t.co/01201wlyzu via @BW",0,neutral
165,"Uh, is @Apple making fun of French people (and being rude) in their new iPhone 6 'call from anywhere' ad?! That's how it seemed to me.",-1,negative
166,"If @Apple Will Poach From #Fashion, Then Fashion Will Follow Suit - The Business of Fashion - http://t.co/KVe1KXONfM",0,neutral
167,@NickM538 @Apple tell them how ya really feel,0,neutral
168,Oh @Apple this is horrible packaging and shipping. #shame http://t.co/JaRpJYJ5Zu,-1,negative
169,@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking,-1,negative
170,RT @chemixcalbieber: '@WhoaBiebz: GET YOUR SHIT TOGETHER OR I'LL GUY A SAMSUNG GALAXY S5 @APPLE' http://t.co/LEHpmkxK0a,-1,negative
171,"@angusdick yes, had that exact issue. Took it to @apple for a free battery replacement. Trackpad ended up being fine.",0,neutral
172,@RedXPower @ChristmasCount yeah and don't make them into tablets @apple,0,neutral
173,@Maine_Nitin Good morning! Looks like I'll be hanging at the @Apple store with the students and snowbirds sometime this week.,0,neutral
174,"if I tweet about NANDOS my phone puts it in caps, I like the iPhone six, it knows my favourite restaurant. good phone GG @apple",1,positive
175,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,-1,negative
176,CNBCTV:  #Apple arguably most innovative company in world: Pro #aapl http://t.co/xWVD3zCkHu,1,positive
177,#AAPL:Is it time to start buying Apple?...http://t.co/5nulnjlbaG,0,neutral
178,"CGK had laptop prob today.  @apple  Local #, useless. Tech support, useless. 1 hr at Genius Bar, useless.  Buy a PC next time?",-1,negative
179,"Please, @Apple, don't go the way @Facebook has gone with their iOS 'release notes'.  We DESERVE to know what's happening with our gear.",-1,negative
180,iTunes is pissing me tf off @apple,-1,negative
181,"#AAPL RT @FortuneMagazine Alex Gauna flips his Apple bit, sets Street-high target of $150 http://t.co/rsHjD9BrHp",0,neutral
182,"@FaZeNikan @Apple lol iPhone,weak. Get on that Lumia level bruh",-1,negative
183,"iPhone 6 Plus Captures 41% 'Phablet' Sales in the U.S. $AAPL #aapl
http://t.co/afedrJ4EPr",0,neutral
184,"Apple Wants To Make Your Commute Much Easier, According To This New Patent $AAPL #aapl
http://t.co/FD6FCM2HQB",0,neutral
185,feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs,-1,negative
186,"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Tuesday, 2 #December) http://t.co/PGCaSLAnZa",0,neutral
187,"#AAPL:Apple Loop: iPhone 6S Rumors, The Myth Of Steve Job's Garage, iPhone 6...http://t.co/GwQ3JqikZd",0,neutral
188,please make a gold macbook @apple,0,neutral
189,@apple why doesn't your people explain precautions when buying an expensive laptop,-1,negative
190,"Apple:Dec 5 Trading Daily Profit $1.57/sh,  Weekly Profits of $18.36/sh  #aapl #Stockaction #trading #Stocks #MKt  
http://t.co/76R4rmUUNo",0,neutral
191,Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets,0,neutral
192,.@Apple is reportedly hiring fashion-focused staff for its physical stores http://t.co/ZoOnR3u5zV #FTDaily #FashionTech,0,neutral
193,The @Apple iWatch: Changing the face of watches http://t.co/EtfTAT5K7x #applenews #iwatch #gadgets,0,neutral
194,"Apple 'deleted' rivals' music from iPods, court hears $AAPL #aapl
http://t.co/7xYurDyY7R",0,neutral
195,@DustynMichael got enough @apple  products? http://t.co/nts3ebIxAL,0,neutral
196,@apple why can't i fnd netbot on app store !? help ASAP,-1,negative
197,"@iTunes @apple my music library wont sync new music etc, iTunes tells me sync completed, nothing new uploaded,how do I fix this? FRUSTRATING",-1,negative
198,@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame,-1,negative
199,"yo @Apple , why yall make it so hard to grip the 6?.",-1,negative
200,Apple makes bad chargers. The @apple genius said wrap it in electrical tape. I wonder what Jony Ive thinks of that. http://t.co/HvxSJUt39p,-1,negative
201,RT @paisley_smithh: Real tired of my charger breaking every month @Apple,-1,negative
202,my dad called now my musics arent playing jesus christ @apple problematic,-1,negative
203,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",-1,negative
204,"RT @TeamCavuto: Protesters stage #DieIn protests in @Apple store in NYC... Is it me, or is this anger misplaced? RETWEET if you agree.",0,neutral
205,@l0lvivivuvu @sextsatan @Apple And replied... #livingthedream ~ARI,0,neutral
206,@apple why is it that your iPhone's alarm fails to work sometimes?? I missed 3 bonus points from a class because of this. Sooooo annoyed,-1,negative
207,It would be nice if I could type more than one sentence without my computer freezing up @Apple @Microsoft @Word @Internet @Everyone,-1,negative
208,"As Apple still struggles to meet iPhone 6 demand, Canaccord raises price target to $135  $AAPL #aapl
http://t.co/IrZI8Q8F9r",0,neutral
209,"Apple: $113 matches 8% increase in earnings. 2014Q3 EPS=$1.42 in  #IOS App Donkey Stocks on your #iPhone. #AAPL
https://t.co/8CBUgrEHZS",0,neutral
210,"@Apple [#Apple] #Patents An #iPhone Drop Protection Mechanism That Changes Device .... (#Tuesday, 2 #December) http://t.co/WpnlcmBcSB",0,neutral
211,"Myths vs. Reality-Full Time #Trading http://t.co/JH7BMS1Kgb #stocks
#futures #forex #trader #es #aapl #gpro #eSignal http://t.co/bFnkHl3EYx",0,neutral
212,you just did too much you asshole. @apple get your shit together.,-1,negative
213,RT @ehsonakbary: THE WORLD'S FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION @Apple http://t.co/Rz8es3q3fj,-1,negative
214,"Who's Buying All Those New iPhones Anyway? $AAPL #aapl
http://t.co/oErygGHnsc",0,neutral
215,RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/v2GViV6qnh,0,neutral
216,@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective,-1,negative
217,RT @RaviMikkelsen: @HRHound @MandoGallegos Nice! If the actor had on an iWatch he'd have the entire suite of @Apple products. #sponsorDeal,0,neutral
218,That moment EVERYTIME when walk out of @Apple after purchase &amp; receipt is emailed &amp; think getting stopped or not #MiniHeartAttack @tim_cook,0,neutral
219,"Major crisis avoided @apple. You guys were able to restore my daughter's  #iPhone. Great service, thanks. #5starservice",1,positive
220,FUCK YOU @apple FOR MAKING SHIT PRODUCTS,-1,negative
221,Pop up #BostonHoliday - #UrbanNutcracker's @RussellFerg &amp; #krumpers are @Apple Store in Boylston St. @5:30pm today. Dancing &amp; chat',0,neutral
222,@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame,-1,negative
223,@OneRepublic @Apple HOW THEY LOOK THIS IS SO CUTE,1,positive
224,I don't undestand how @SYFNews #CreditCare website doesn't work on @Apple prod-Had to request paper bills #WhatYearIsIt #poorcustomerservice,-1,negative
225,Dear @apple replace my phone my battery sucks,-1,negative
226,"China reminds Apple on need to support privacy, security in its products $AAPL #aapl
http://t.co/5ABnwWVQxh",0,neutral
227,@Nale When do you think #parable will be accessible in France @Apple #AppStore,0,neutral
228,"Oh @apple, why do I have to delete my unwanted photos eight times. Once is enough. I don't want a 'recently deleted' folder.",-1,negative
229,"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/bxbjni5iHn @apple @LisaEadicicco",1,positive
230,RT @yungbaaz: god dammit fuck you @apple,-1,negative
231,#AAPL MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes http://t.co/xCYyyJtK05,0,neutral
232,@Apple fix addis' phone so we can text each other pls and thx,-1,negative
233,"Companies i admire : @3QDigital @vaynermedia @apple. It must rocks to work there, because mainly of their boss and their culture.",1,positive
234,@Siri @Apple @SteveJobs @alarmthatdidntgooff this is disrespectful,-1,negative
235,RT @Amdocs: Top #iOS apps of 2014. @Apple names Elevate Brain Training as #1 iPhone app. http://t.co/tyRNmYGnDP,0,neutral
236,"NO @apple NO! When I make an I phone Album I WANT IT TO STAY ON PHONE, not be removed when camera roll cleared.. GET IT TOGETHER!",-1,negative
237,@AppStore @apple When is the release for the new #infiniteflight update in the appstore? @flyingdevstudio says the Update is in your hands,0,neutral
238,"@morrisjordan42 I would say it had a good life but fuck man, little guy was only like 3 mths old, fck u @apple and ur piece of shit chargers",-1,negative
239,"Pegraton may Gain Orders for 50% of the 2015 4.7' iPhone 6S $AAPL #aapl
http://t.co/jjvkpoa01X",0,neutral
240,Protesters in the @Apple store pretty much sums it up. Its like a gravitational pull. Shocked it took this long. Next stop? STARBUCKS!!,-1,negative
241,At the Genius Bar@apple store.  Very helpful #AAPL staff and whoever helped me was genius. Comp wking again. http://t.co/GBPQdl8eCN,1,positive
242,I hate my MacBook now. Fuck this update and fuck you @apple,-1,negative
243,@Apple conclusion : Best client service ever,1,positive
244,"@jimmymujaj @Apple it works again fucker, not being a hoe if it's only one person SMD",-1,negative
245,My phone just charged 23% in 45 seconds thanks @Apple,1,positive
246,@apple please stop notifying me to 'upgrade iCloud storage' because I do not use iCloud enough to upgrade it nor would I pay for such things,-1,negative
247,@Apple recruiting luxury executives for iwatch. I'll make it easy for them: just get celebrities to wear them.,0,neutral
248,contact @Apple RT @mrstiffanyanne anybody that sold an iPhone before? i have questions &amp; can't find them on Google!!!,0,neutral
249,hey @apple my 5s keeps glitching :/,-1,negative
250,iPhone6 fell 2 ft. Screen shattered like it was blown up. @apple wants an additional $109 to fix it. Maybe make a product that lasts?,-1,negative
251,RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/jMAL4mOWmz,0,neutral
252,Can I turn auto correct off @apple ?,0,neutral
253,#Apple Stores hosting Hour of Code programming workshops on December 11th - http://t.co/lDmfG6nQES #AAPL #Tokyo,0,neutral
254,#brooklyn is changing! @apple store is heading to BK!,0,neutral
255,BloombergTV:  Steve #Wozniak on What Really Happened in #Jobs' Garage http://t.co/M5Pl6xLjuV via @BloombergTV #Apple #aapl,0,neutral
256,". @apple diag and support suck a lot! It says 'cannot connect server, try again', then 'ticket not found' #disgusting http://t.co/ARyYbxOdox",-1,negative
257,my phone keeps restarting on its own @apple dont play me like that???,-1,negative
258,"Looking down on the crazy George Street, #Sydney in the rain from the @Apple Genius Bar.... http://t.co/fw8BCu1DOD http://t.co/dlrmFkDKHh",0,neutral
259,@Sony and @Apple @iTunesMusic  @AppStore @tim_cook need to combine their efforts and  make one solid system accessible from any device...,0,neutral
260,"Is Apple Inc. Losing the $5 Billion Ed-Tech Market? $AAPL #aapl
http://t.co/lOLDOTy7jt",0,neutral
261,"http://t.co/D2TeKpbQyw
@Apple Default search engine",0,neutral
